,state,Burger,Chicken,Ethnic,Pizza,Sandwich,Seafood,Snack
0,AK,3,0,4,1,6,0,1
1,AL,2,1,3,0,0,0,0
2,AR,47,7,18,6,18,2,3
3,AZ,148,15,73,31,48,2,12
4,CA,615,70,214,78,112,2,67
