name,categories,city,state,postalCode,latitude,longitude
Burger King,Fast food restaurants,Encinitas,CA,92024,33.051949,-117.260994
Carl's Jr,Fast Food Restaurant,Downey,CA,90241,33.93527552,-118.1238946
Carl's Jr,Fast Food Restaurants,Downey,CA,90242,33.91684597,-118.1337577
Filippi's Pizza Grotto,Fast Food Restaurants,San Diego,CA,92109,32.797188,-117.2525
Burger King,Fast food restaurants,Cypress,TX,77433,29.880809999999997,-95.683922
Burger King,Fast Food Restaurant and Burger Joint,Cypress,TX,77433,29.880809999999997,-95.683922
Boston Market,Fast Food Restaurant,Pleasant Hill,CA,94523,37.946878999999996,-122.060174
Jack in the Box,Fast Food,Castro Valley,CA,94546,37.695437,-122.08173500000001
Round Table Pizza,Fast Food,San Jose,CA,95129,37.315903999999996,-121.977843
El Pollo Loco,Fast Food Restaurants,Compton,CA,90220,33.894566,-118.220228
Arby's,Fast Food Restaurant,Chula Vista,CA,91915,32.646857000000004,-116.967527
Burger King,Fast food restaurants,Chico,CA,95926,39.76117,-121.84218700000001
In-N-Out Burger,Fast Food Restaurants,Arroyo Grande,CA,93420,35.1273,-120.598
Copper Oven Artisan Pizza,Fast Food Restaurants,Palm Desert,CA,92260,33.72118,-116.38791
Carl's Jr,Fast Food Restaurant,Canoga Park,CA,91304,34.218957,-118.58903000000001
McDonald's,Fast Food Restaurant,Capitola,CA,95010,36.975287,-121.96392900000001
Carl's Jr,Fast Food Restaurant,Camarillo,CA,93010,34.221478000000005,-119.07024299999999
Del Taco,"Fast Food Restaurant, Mexican Restaurant, and Taco Place",Barstow,CA,92311,34.867566,-117.114747
Del Taco,Fast Food Restaurant,Baldwin Park,CA,91706,34.077713,-117.996169
Little Caesars Pizza,Fast Food,La Puente,CA,91744,34.0422696,-117.94934950000001
McDonald's,Fast Food Restaurant,Bishop,CA,93514,37.365314,-118.39508000000001
McDonald's,Fast Food Restaurants,Americus,GA,31709,32.07128,-84.216974
Burger King,Fast Food Restaurant,Anderson,SC,29621,34.54701,-82.6319
Carl's Jr,Fast Food Restaurant,Alhambra,CA,91803,34.088183,-118.15143700000002
Sbarro,Fast Food Restaurants,Augusta,GA,30909,33.46734,-82.07989
Casey's General Store,Fast Food,Neoga,IL,62447,39.321895,-88.451273
Casey's General Store,Fast Food,Newton,IL,62448,38.983809,-88.161001
Chipotle Mexican Grill,Fast Food Restaurants,Chatsworth,CA,91311,34.23765,-118.58918999999999
McDonald's,Fast Food Restaurants,Cedartown,GA,30125,34.017911,-85.253614
Burger King,Fast food restaurants,Glastonbury,CT,06033,41.726353,-72.61760799999999
Boston Market,"American Restaurant, Sandwich Place, and Fast Food Restaurant",Glastonbury,CT,06033,41.720514,-72.614164
McDonald's,Fast Food Restaurant,Campbellsville,KY,42718,37.346447,-85.33736800000001
SUBWAY,Fast Food Restaurant,Campbellsville,KY,42718,37.357213,-85.323654
Burger King,Fast food restaurants,Fairfield,CA,94534,38.259527,-122.062146
Fat Patty's,Fast Food Restaurants,Ashland,KY,41101,38.4791,-82.6411
Dairy Queen,Fast Food Restaurants,Ashland,KY,41102,38.3887,-82.7156
Pizza Hut,Fast Food Restaurants,Fort Pierce,FL,34950,27.4357,-80.32600000000001
Arby's,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Brooksville,FL,34613,28.534187,-82.516103
McDonald's,Fast Food Restaurant,Hobe Sound,FL,33455,27.06168,-80.13746
Culver's,Burger Joint and Fast Food Restaurant Gulf Breeze,Navarre,FL,32566,30.403771999999996,-86.85506
Burger King,Fast food restaurants,Hialeah,FL,33013,25.867613000000002,-80.266376
Pizza Hut,Fast Food,Hialeah,FL,33016,25.882938,-80.33868000000001
Dairy Queen,Fast Food,Haines City,FL,33844,28.125757,-81.64043000000001
Pizza Hut,Fast Food Restaurants,Saint Augustine,FL,32092,29.961740000000002,-81.49109
KFC,Fast Food Restaurant,Deltona,FL,32725,28.8829,-81.2413
McDonald's,Fast food restaurants,DeFuniak Springs,FL,32435,30.687820000000002,-86.12318
SONIC Drive-In,Fast Food Restaurant,DeFuniak Springs,FL,32435,30.70032,-86.12317
Whataburger,Fast Food Restaurants,DeFuniak Springs,FL,32435,30.68693,-86.12329
Arby's,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Estero,FL,33928,26.432003,-81.789408
Chick-Fil-A,Fast Food Restaurants,Brandon,FL,33511,27.928096999999998,-82.324836
Taco Bell,Fast Food Restaurant,Belle Glade,FL,33430,26.675109999999997,-80.67
McDonald's,Fast Food Restaurant,Avon Park,FL,33825,27.596742,-81.494029
Pizza Hut,Fast Food Restaurants,Wauchula,FL,33873,27.56904,-81.81521
Firehouse Subs,Fast Food,Apopka,FL,32712,28.68587218,-81.53919026
Burger King,Fast Food Restaurant,Savannah,GA,31408,32.135603,-81.20824300000001
SONIC Drive-In,Fast Food Restaurant,Arkansas City,KS,67005,37.08012,-97.03938000000001
McDonald's,Fast Food Restaurants,Dodge City,KS,67801,37.77885,-100.01663
Burger King,Fast Food Restaurants,Ankeny,IA,50021,41.704627,-93.580975
Burger King,Fast Food Restaurant,Ankeny,IA,50021,41.704627,-93.580975
Cupie's Drive-In,Fast Food Restaurants,Kahului,HI,96732,20.8874,-156.4698
Chick-Fil-A,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Ames,IA,50010,42.02045,-93.60967
Burger King,Fast Food Restaurants,Ames,IA,50010,42.035109999999996,-93.57344
Burger King,Fast Food Restaurant,Ankeny,IA,50021,41.732374,-93.582329
Pizza Hut,Fast Food Restaurants,Boise,ID,83705,43.580339,-116.21310600000001
Burger King,Fast food restaurants,Burlington,NC,27217,36.09503,-79.408
